Department,Smester,Subject Code,Subject Name,
EC,4,EC246,ANALOG CIRCUITS AND APPLICATIONS,
EC,4,EC247,MICROPROCESSOR & INTERFACING,
EC,4,EC248,ANALOG COMMUNICATION,
EC,4,EC282.01,PROTOTYPING ELECTRONICS WITH ARDUINO,
EC,5,EC341,ELECTROMANGETIC THEORY,
EC,5,EC342,VLSI TECHNOLOGY & DESIGN,
EC,5,EC343,DIGITAL SIGNAL PROCESSING,
EC,5,EC344,MICROCONTROLLER AND APPLICATION,
EC,5,EC371,POWER ELCTRONICS,
EC,5,EC372,DIGITAL SYSTEM DESIGN,
EC,6,EC347,ANTENNA & WAVE PROPAGATION,
EC,6,EC348,DIGITAL COMMUNICATION,
EC,6,EC349,EMBEDDED SYSTEMS,
EC,6,EC352,EMBEDDED LINUX,
EC,6,EC373,JAVA PROGRAMMING,
EC,6,EC374,INFORMATION THEORY,
EC,7,EC441,DATA COMMUNICATION & NETWORKING,
EC,7,EC442,RF & MICROWAVE ENGINEERING,
EC,7,EC443,WIRELESS COMMUNICATION,
EC,7,EC444,OPTICAL COMMUNICATION,
EC,7,EC471,DIGITAL IMAGE PROCESSING,
EC,7,EC472,RADAR SYSTEMS,
EC,7,EC473,ERROR CONTROL CODING,
EC,8,EC448,PROJECT,
